Area,All races and origins,White,Black,Hispanic
United States                           ,1765.5,1666.5,1824.5,2006.5
Alabama                               ,1821.5,1762.5,1765.5,3085.0
Alaska                                 ,2021.0,1793.5,1899.5,1868.5
Arizona                                ,1791.5,1597.0,1911.0,1996.5
Arkansas                              ,1906.0,1811.5,1973.5,2365.5
California                              ,1692.5,1529.0,1503.5,1830.0
Colorado                               ,1630.0,1469.0,2000.5,1945.5
Connecticut                            ,1591.5,1475.5,1575.5,1936.0
Delaware                              ,1751.0,1526.0,1838.5,2569.5
District of Columbia                      ,1421.0,1012.0,1816.0,1952.5
Florida                                 ,1713.5,1610.0,1959.5,1774.0
Georgia                                ,1788.0,1686.5,1745.5,2443.0
Hawaii                                 ,1893.0,1758.5,1748.0,2273.5
Idaho                                 ,2012.0,1982.5,3005.5,2190.0
Illinois                                 ,1733.0,1642.5,1900.5,1873.5
Indiana                                ,1872.5,1825.0,2062.0,2201.5
Iowa                                  ,1935.0,1843.5,2873.0,2447.0
Kansas                                ,1926.5,1884.0,2107.0,2263.5
Kentucky                              ,1903.5,1870.0,1894.0,2739.5
Louisiana                              ,1876.0,1781.5,1904.0,2712.5
Maine                                 ,1581.0,1544.5,4003.5,1281.5
Maryland                              ,1752.5,1586.5,1689.5,2697.5
Massachusetts                         ,1506.0,1362.5,1891.0,2020.5
Michigan                              ,1761.5,1701.0,2006.0,1920.5
Minnesota                             ,1872.5,1727.0,2900.0,2168.0
Mississippi                             ,1851.5,1812.5,1844.0,2605.0
Missouri                               ,1813.0,1766.0,1922.5,2122.5
Montana                               ,1803.5,1725.0,1641.0,1876.5
Nebraska                              ,2061.5,1890.0,2453.5,2801.5
Nevada                                ,1771.0,1587.0,2177.0,1940.0
New Hampshire                         ,1515.0,1510.5,2030.0,1686.5
New Jersey                            ,1755.0,1715.0,1672.5,2007.0
New Mexico                            ,1756.5,1619.0,1651.0,1815.0
New York                              ,1654.5,1635.0,1574.5,1810.0
North Carolina                          ,1767.0,1622.0,1691.0,2596.5
North Dakota                           ,2065.0,1905.0,3243.0,2460.0
Ohio                                  ,1826.0,1755.5,2046.0,2221.5
Oklahoma                              ,1897.0,1802.5,1815.5,2356.5
Oregon                                ,1562.0,1476.5,1760.5,1930.0
Pennsylvania                           ,1693.5,1607.0,1799.0,2117.5
Rhode Island                           ,1508.5,1343.0,1594.0,2048.0
South Carolina                          ,1731.0,1657.0,1668.5,2569.0
South Dakota                           ,2227.5,2013.0,3156.0,2710.0
Tennessee                             ,1802.0,1712.5,1794.5,2859.5
Texas                                 ,1916.0,1708.5,1828.5,2136.5
Utah                                  ,2120.5,2099.5,2406.5,2324.5
Vermont                               ,1519.5,1534.0,2391.5,1200.5
Virginia                                ,1748.5,1686.5,1770.5,2268.0
Washington                            ,1713.5,1598.0,2058.5,2154.5
West Virginia                           ,1731.0,1737.5,1579.5,1880.5
Wisconsin                             ,1787.0,1681.5,2327.0,2122.5
Wyoming                              ,1861.5,1824.5,1146.0,2099.0
