year,stname,numbirth1544
1990,AK,11881
1991,AK,11651
1992,AK,11698
1993,AK,11056
1994,AK,10652
1995,AK,10221
1996,AK,10012
1997,AK,9918
1998,AK,9900
1999,AK,9913
2000,AK,9951
2001,AK,9974
2002,AK,9912
2003,AK,10049
2004,AK,10305
2005,AK,10427
2006,AK,10966
2007,AK,11022
2008,AK,11419
2009,AK,11295
2010,AK,11448
2011,AK,11436
2012,AK,11154
2013,AK,11413
2014,AK,11367
2015,AK,11263
2016,AK,11182
2017,AK,10418
2018,AK,10072
2019,AK,9801
1990,AL,63167
1991,AL,62474
1992,AL,61902
1993,AL,61301
1994,AL,60578
1995,AL,59985
1996,AL,60159
1997,AL,60628
1998,AL,61818
1999,AL,61871
2000,AL,63075
2001,AL,60230
2002,AL,58756
2003,AL,59346
2004,AL,59306
2005,AL,60258
2006,AL,63017
2007,AL,64631
2008,AL,64348
2009,AL,62270
2010,AL,59895
2011,AL,59206
2012,AL,58312
2013,AL,58047
2014,AL,59314
2015,AL,59551
2016,AL,59064
2017,AL,58843
2018,AL,57658
2019,AL,58502
1990,AR,36270
1991,AR,35286
1992,AR,34625
1993,AR,34098
1994,AR,34535
1995,AR,34981
1996,AR,36196
1997,AR,36275
1998,AR,36704
1999,AR,36601
2000,AR,37630
2001,AR,36876
2002,AR,37298
2003,AR,37646
2004,AR,38443
2005,AR,39083
2006,AR,40841
2007,AR,41238
2008,AR,40562
2009,AR,39706
2010,AR,38443
2011,AR,38632
2012,AR,38261
2013,AR,37767
2014,AR,38429
2015,AR,38805
2016,AR,38195
2017,AR,37442
2018,AR,36959
2019,AR,36511
1990,AZ,68785
1991,AZ,67891
1992,AZ,68607
1993,AZ,68835
1994,AZ,70563
1995,AZ,72193
1996,AZ,75049
1997,AZ,75416
1998,AZ,77945
1999,AZ,80834
2000,AZ,84965
2001,AZ,85306
2002,AZ,87543
2003,AZ,90654
2004,AZ,93376
2005,AZ,95906
2006,AZ,102148
2007,AZ,102660
2008,AZ,99155
2009,AZ,92510
2010,AZ,87223
2011,AZ,85320
2012,AZ,86260
2013,AZ,85383
2014,AZ,86703
2015,AZ,85169
2016,AZ,84316
2017,AZ,81658
2018,AZ,80517
2019,AZ,79183
1990,CA,610826
1991,CA,608165
1992,CA,599640
1993,CA,583204
1994,CA,565612
1995,CA,549758
1996,CA,537292
1997,CA,522817
1998,CA,519816
1999,CA,516569
2000,CA,530111
2001,CA,525886
2002,CA,527453
2003,CA,539070
2004,CA,542964
2005,CA,546709
2006,CA,560331
2007,CA,564307
2008,CA,549536
2009,CA,524892
2010,CA,508283
2011,CA,500149
2012,CA,501744
2013,CA,492686
2014,CA,500926
2015,CA,489673
2016,CA,486696
2017,CA,469506
2018,CA,452683
2019,CA,444185
1990,CO,53418
1991,CO,53685
1992,CO,54380
1993,CO,53857
1994,CO,53897
1995,CO,54158
1996,CO,55620
1997,CO,56343
1998,CO,59392
1999,CO,61965
2000,CO,65225
2001,CO,66801
2002,CO,68210
2003,CO,69104
2004,CO,68290
2005,CO,68756
2006,CO,70529
2007,CO,70574
2008,CO,69833
2009,CO,68415
2010,CO,66165
2011,CO,64844
2012,CO,65007
2013,CO,64858
2014,CO,65660
2015,CO,66412
2016,CO,66440
2017,CO,64213
2018,CO,62719
2019,CO,62695
1990,CT,50014
