"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","4","204346","https://p.scdn.co/mp3-preview/7d2f1ec114c44ecfa8b9017ad1c01cb041c8e613?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USUM71700626","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:26:41Z"
"spotify:track:2FY7b99s15jUprqC0M5NCT","Natural","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:3JfSxDfmwS5OeHPwLSkrfr","Origins (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2018-11-09","https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd","1","1","189466","https://p.scdn.co/mp3-preview/e375c82aba995cc3a35b8c2428696f00ef07e5a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71806694","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:28:03Z"
"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Enemy (with JID) - from the series Arcane League of Legends","spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:57nPqD7z62gDdq37US9XJR, spotify:artist:47mIJdHORyRerp4os813jD","Imagine Dragons, JID, Arcane, League of Legends","spotify:album:6yiXkzHvC0OTmhfDQOEWtS","Mercury - Acts 1 & 2","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2022-07-01","https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13","1","1","173381","https://p.scdn.co/mp3-preview/7f4f896ba1b8bca78a515778f0ee0da380d198a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM72119916","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:30:27Z"
"spotify:track:6i0V12jOa3mr6uu4WYhUBr","Heathens","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3J8W9AOjQhnBLCX33m3atT","Heathens","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2016-06-16","https://i.scdn.co/image/ab67616d0000b2732ca3ba8f334ca5a5f0312efb","1","1","195920","https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USAT21601930","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:31:43Z"
"spotify:track:2Sr5xgV9NxH56BVBAgVP3U","Traitor","spotify:artist:5P5FTygHyx2G57oszR3Wot","Daughtry","spotify:album:6UTadUeCxnizkSKAS1VHs4","Baptized (Deluxe Version)","spotify:artist:5P5FTygHyx2G57oszR3Wot","Daughtry","2013-11-15","https://i.scdn.co/image/ab67616d0000b273e491a7df830c0785a6c50daa","1","11","182666","https://p.scdn.co/mp3-preview/81cf5e71f7ec23bfca517e3b8c7b7c2a74aab8e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCTA1300135","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:31:47Z"
"spotify:track:6s8nHXTJVqFjXE4yVZPDHR","Troublemaker (feat. Flo Rida)","spotify:artist:3whuHq0yGx60atvA2RCVRW, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Olly Murs, Flo Rida","spotify:album:5kU9rWhYr4MmPmaGYP5z4v","Right Place Right Time (Expanded Edition)","spotify:artist:3whuHq0yGx60atvA2RCVRW","Olly Murs","2012-11-26","https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0","1","2","185586","https://p.scdn.co/mp3-preview/9569ed39233720069f71c9e0503af9b2862c33d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBARL1201891","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:31:52Z"
"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","House of Memories","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6twKQ0EsUJHVlAr6XBylrj","Death of a Bachelor","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2016-01-15","https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a","1","10","208706","https://p.scdn.co/mp3-preview/5778331aff3415157ed51d5f95c0006fecdbaaaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USAT21503701","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:31:55Z"
"spotify:track:5flerg6aEao2VayZezVlgu","Insane","spotify:artist:4ET82ZtSfAK4utfjDauImD, spotify:artist:3bSyv1vO8ye6PKyWcJeVbI","Black Gryph0n, Baasik","spotify:album:3o5Dz1PLFlYXplnsp5zZxh","Insane","spotify:artist:4ET82ZtSfAK4utfjDauImD, spotify:artist:3bSyv1vO8ye6PKyWcJeVbI","Black Gryph0n, Baasik","2021-06-11","https://i.scdn.co/image/ab67616d0000b273db593bc79e337cbcab12cf88","1","1","159714","https://p.scdn.co/mp3-preview/931dcc3f7deaba9d517418acd77e7a87e9f71b4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","QZHNA2153397","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:35:18Z"
"spotify:track:4G8gkOterJn0Ywt6uhqbhp","Radioactive","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6htgf3qv7vGcsdxLCDxKp8","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a","1","1","186813","https://p.scdn.co/mp3-preview/10a6946f6466990d6ffee5821d745999c1492932?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71201074","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:36:56Z"
"spotify:track:3Ofmpyhv5UAQ70mENzB277","Astronaut In The Ocean","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","spotify:album:7vus4Q8r5DS2Dl1JClxEsA","Astronaut In The Ocean","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","2021-01-06","https://i.scdn.co/image/ab67616d0000b27397fdd7cf1b14d78c6a7fb17f","1","1","132780","https://p.scdn.co/mp3-preview/e89e477c2467c477031561ff801c055c5777de4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT22100017","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:38:49Z"
"spotify:track:1SXuOan5v9G1mM7X0ieXrM","Die In a Fire (feat. EileMonty & Orko)","spotify:artist:0I6yADrmeyvw66g7yjkqIF, spotify:artist:57QIoalYNjG2FjtUfxUNPW, spotify:artist:2kRavccHfl8m4XE28aCHf6","The Living Tombstone, Eile Monty, Orko","spotify:album:6WSiuu95XuXlVryhuDy4Ub","Die In A Fire","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2015-04-24","https://i.scdn.co/image/ab67616d0000b2734ee7f321142be1a88195c1f3","1","1","185477","https://p.scdn.co/mp3-preview/02240c1e6826fb977c0ad8b0f91a0e87359ddc72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USDHM1511744","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:40:09Z"
"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Enemy (with JID) - from the series Arcane League of Legends","spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:57nPqD7z62gDdq37US9XJR, spotify:artist:47mIJdHORyRerp4os813jD","Imagine Dragons, JID, Arcane, League of Legends","spotify:album:4fZIyJn2wKb51QPNnWYnqt","Mercury - Act 1","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2021-09-03","https://i.scdn.co/image/ab67616d0000b273d9b35d1c4d15c9de88b754a7","1","1","173381","","false","2","USUM72119916","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T02:41:03Z"
"spotify:track:54ipXppHLA8U4yqpOFTUhr","Bones","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6yiXkzHvC0OTmhfDQOEWtS","Mercury - Acts 1 & 2","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2022-07-01","https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13","2","1","165264","https://p.scdn.co/mp3-preview/73e60ce56281d0fe085ac00ab64b6f14772754b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM72201759","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-09-06T18:50:21Z"
"spotify:track:6hypt8VPJxeMXTTcRUHS86","Glory","spotify:artist:2q3GG88dVwuQPF4FmySr9I","The Score","spotify:album:4enE8eppWJ9fQXLqTP2TDE","Pressure","spotify:artist:2q3GG88dVwuQPF4FmySr9I","The Score","2019-02-01","https://i.scdn.co/image/ab67616d0000b27384f08a509689b140f1bf931d","1","6","166693","https://p.scdn.co/mp3-preview/6eafdb99f957d9b6c5bb546063071ffdbc1087be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUM71809164","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-10-19T18:17:19Z"
"spotify:track:0cOwPdK6FsqXz967daLc4k","Wish You the Worst","spotify:artist:5LGo1zHegJTWzqVXgeNplt","Ryan Mack","spotify:album:4JsqUzG5orBKjf3LC0d6We","Wish You the Worst","spotify:artist:5LGo1zHegJTWzqVXgeNplt","Ryan Mack","2022-05-18","https://i.scdn.co/image/ab67616d0000b27346dae686cf17d7183cc7a707","1","1","143466","https://p.scdn.co/mp3-preview/3eba9c65c052b030797771b06c8a4aa0034d4881?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","IERZR2200002","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T03:36:30Z"
"spotify:track:2xKTOaIAh0IJ92jXP4BX1P","I Ain't Done","spotify:artist:1TMrnxBwZfmfRxsGzkNIHw","Andy Mineo","spotify:album:6G74Lwyq8ATdNGFyRjZw0z","I: The Arrow","spotify:artist:1TMrnxBwZfmfRxsGzkNIHw","Andy Mineo","2018-04-27","https://i.scdn.co/image/ab67616d0000b273694079caa9f67f091eca8253","1","5","215060","","false","0","QMTND1101510","spotify:user:3125j3ezrkwrzkdqfgisqb7n2xwq","2022-11-16T03:49:03Z"
