"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0O26gtfjuscAOnQobjNPPL","To the Hellfire","spotify:artist:6vXYoy8ouRVib302zxaxFF","Lorna Shore","spotify:album:2QiAGEjud0j28idKQdsQwL","To the Hellfire","spotify:artist:6vXYoy8ouRVib302zxaxFF","Lorna Shore","2021-06-11","https://i.scdn.co/image/ab67616d0000b273a9e285f2a754010ece49a939","1","1","369786","https://p.scdn.co/mp3-preview/18e92aa6410b15a983f64dae059d3db973d229a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","GBDHC2124401","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:42:33Z"
"spotify:track:3VnBhHJdT7p05Wtenu4fmt","Mr. Highway's Thinking About The End","spotify:artist:4NiJW4q9ichVqL1aUsgGAN","A Day To Remember","spotify:album:6MEv8dNtVbKDW1WG4Hk6WZ","Homesick","spotify:artist:4NiJW4q9ichVqL1aUsgGAN","A Day To Remember","2009-02-03","https://i.scdn.co/image/ab67616d0000b2730b02af77159866fe3e011c76","1","5","255826","https://p.scdn.co/mp3-preview/294a4d474aacbb26562be2615112ad9b52e75974?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USVIC0944805","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:42:37Z"
"spotify:track:5ofoB8PFmocBXFBEWVb6Vz","Animals","spotify:artist:3ZztVuWxHzNpl0THurTFCv","Architects","spotify:album:7qemUq4n71awwVPOaX7jw4","For Those That Wish To Exist","spotify:artist:3ZztVuWxHzNpl0THurTFCv","Architects","2021-02-26","https://i.scdn.co/image/ab67616d0000b273c78b2edbc9407cea20ccfb9f","1","10","244364","https://p.scdn.co/mp3-preview/9b4a783334d4c4f686a1273d883c9f83cfa4f2d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USEP42058010","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:44:40Z"
"spotify:track:2hlkONIHvQp5dbnwLTtwhz","Swallowing the Rabbit Whole","spotify:artist:6qtECqesbU29iftyeWmldK","Code Orange","spotify:album:70kThssMOMBi4GyBPCk0Gu","Underneath","spotify:artist:6qtECqesbU29iftyeWmldK","Code Orange","2020-03-13","https://i.scdn.co/image/ab67616d0000b2736309a1f13c14df29de8177a5","1","2","227981","https://p.scdn.co/mp3-preview/d18f24151ccee35d9843e23523994c987be466c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","NLA321900271","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:44:45Z"
"spotify:track:0TIef4jRYHONrw4BVvDGT0","Boneyards","spotify:artist:159qqlGwzE04xyqpfAwRLo","Parkway Drive","spotify:album:4GnybptVxP8FoxVfnSjMqM","Horizons (Deluxe Edition)","spotify:artist:159qqlGwzE04xyqpfAwRLo","Parkway Drive","2007-10-09","https://i.scdn.co/image/ab67616d0000b273248c3d99d296604ecd4f2c89","1","6","195746","https://p.scdn.co/mp3-preview/6dcb33b8ac059336e7b6d83f6790054eadf7b719?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USEP40721106","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:44:52Z"
"spotify:track:68ae1LwQdpHhYwPrz7rTdl","The End of All We Know","spotify:artist:5ZvwJikDgdP1PFU4PkAPVG","Bleed From Within","spotify:album:5vQ8OjVMsjP50ki4LwaH82","Fracture","spotify:artist:5ZvwJikDgdP1PFU4PkAPVG","Bleed From Within","2020-05-29","https://i.scdn.co/image/ab67616d0000b27359d00d41ab5d7eac0da1e58e","1","1","252333","https://p.scdn.co/mp3-preview/99501090b3d54b8223e3306e1079f7f46017cb36?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBDHC2013301","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:45:04Z"
"spotify:track:2WK78upCkuvhkJcrHlEEyI","Imperium","spotify:artist:0lVlNsuGaOr9vMHCZIAKMt","Machine Head","spotify:album:6LTkG6sc02q4L1zCm3jD6d","Through the Ashes of Empires","spotify:artist:0lVlNsuGaOr9vMHCZIAKMt","Machine Head","2003-12-16","https://i.scdn.co/image/ab67616d0000b273083ad2853fa744ecd73a950c","1","1","401693","https://p.scdn.co/mp3-preview/b6e4a5f910fbd030a831c4bc634b01392d3317a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","NLA320320477","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:45:09Z"
"spotify:track:1j5V6zyrtWjm0jnCLh0q1R","My Cancer","spotify:artist:0DTH9zFyvRb24bb8XN0iEr","Reflections","spotify:album:17W5y07r4Un94w95txuq6O","Exi(S)T","spotify:artist:0DTH9zFyvRb24bb8XN0iEr","Reflections","2013-11-22","https://i.scdn.co/image/ab67616d0000b273a1d2f862d0c1915421932bfb","1","5","175853","","false","16","DEA451312980","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:45:14Z"
"spotify:track:6TCe41p0aBvY9zYInUR2oS","passage noir","spotify:artist:0z4ODfFM8PGE0A9r0tZ75J","Vildhjarta","spotify:album:4l7vAsUopNRu08SAkp9m8u","måsstaden under vatten","spotify:artist:0z4ODfFM8PGE0A9r0tZ75J","Vildhjarta","2021-10-15","https://i.scdn.co/image/ab67616d0000b2736818e47ef2372ed9f4f8e512","1","7","267359","https://p.scdn.co/mp3-preview/50f831faef11877f1ef0f01b93b2148507fb857f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBDHC2013508","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:45:20Z"
"spotify:track:2GLLVJkjdBuz20Jrko3yy3","passage noir - instrumental","spotify:artist:0z4ODfFM8PGE0A9r0tZ75J","Vildhjarta","spotify:album:5PfKnMlWj8HEA4NavsSGqG","måsstaden under vatten (instrumental)","spotify:artist:0z4ODfFM8PGE0A9r0tZ75J","Vildhjarta","2021-11-26","https://i.scdn.co/image/ab67616d0000b273ef16bb05a40c341bd5474dc9","1","7","267359","https://p.scdn.co/mp3-preview/34b5815366a616e1e3895d283b91f922ca2ddf59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBDHC2013524","spotify:user:0ace6mier35dhe5xwi8g0xwvv","2022-10-04T17:45:24Z"
