Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
56EQjTCuk730zaSnqHrveI,"1AdrYGYDz4oa9dvW2jfFrG","What I Would Give","Sanctum","Angelmaker",2022-03-11,250933,44,spotify:user:angels_anarchy,2023-07-03T16:55:49Z,"blackened deathcore,deathcore,melodic metalcore,slamming deathcore,vancouver metal",0.456,0.986,6,-2.096,1,0.125,0.000389,0.0000102,0.345,0.0946,130.008,4
7jKHJoOij35nfpq6PYHlFH,"4xtWjIlVuZwTCeqVAsgEXy","In My Room","Hell's Pit","Insane Clown Posse",2004-08-31,231146,72,spotify:user:angels_anarchy,2023-03-12T08:07:44Z,"rap rock",0.844,0.745,8,-7.871,1,0.39,0.0896,0,0.911,0.752,110.072,4
0adBp5mTJecrdhdVDjeB78,"4xtWjIlVuZwTCeqVAsgEXy","Suicide Hotline","Hell's Pit","Insane Clown Posse",2004-08-31,212760,53,spotify:user:angels_anarchy,2023-03-12T08:08:03Z,"rap rock",0.476,0.74,7,-7.54,1,0.4,0.0217,0,0.183,0.627,201.59,4
6ursmCnbc9oDRGa2yHKkoZ,"6JW8wliOEwaDZ231ZY7cf4","Roots Bloody Roots","Roots","Sepultura",1996-02-20,212253,68,spotify:user:angels_anarchy,2023-07-03T17:50:07Z,"alternative metal,brazilian groove metal,brazilian metal,brazilian thrash metal,death metal,deathrash,groove metal,hard rock,latin metal,metal,metal mineiro,nu metal,old school thrash,speed metal,thrash metal",0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,4
07xFWwKPOApMS56ildsV0G,"3RNrq3jvMZxD9ZyoOZbQOD","Twist","Life Is Peachy","Korn",1996-10-15,49213,69,spotify:user:angels_anarchy,2023-03-11T09:07:23Z,"alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock",0.558,0.989,1,-5.041,0,0.158,0.395,0.0000981,0.375,0.635,83.071,4
7HvL8ENiy3pxkBpSMSo0w1,"0dUwIwaPc6UukkCZTaaf7J","Muzzle","Obscene Repressed","Benighted",2020-04-10,162586,17,spotify:user:angels_anarchy,2023-04-26T04:44:49Z,"brutal death metal,death metal,deathgrind,french death metal,french metal,technical death metal",0.464,0.892,1,-7.232,1,0.0819,0.000107,0.0129,0.364,0.306,125.016,4
0yxG1iSZI50s2avhSk8YV9,"0dUwIwaPc6UukkCZTaaf7J","Cum with Disgust","Necrobreed (Deluxe)","Benighted",2017-02-24,189813,24,spotify:user:angels_anarchy,2023-03-11T09:07:26Z,"brutal death metal,death metal,deathgrind,french death metal,french metal,technical death metal",0.472,0.995,1,-3.097,0,0.23,0.000145,0.0412,0.115,0.117,154.908,4
0GSk5FZG69LYyyg16TUBtj,"0Y7lDsDZc8qYny9MTq8xG2","Chased Through the Woods by a Rapist","Perverse Recollections of a Necromangler","Waking the Cadaver",2008,111974,28,spotify:user:angels_anarchy,2023-05-25T15:46:40Z,"brutal deathcore,deathcore",0.294,0.807,6,-9.889,0,0.145,0.000155,0.0055,0.35,0.0796,58.316,4
6sYfOZCh745tJTlCkuNoGb,"1AdrYGYDz4oa9dvW2jfFrG","The Great Grey Flame","Sanctum","Angelmaker",2022-03-11,214133,31,spotify:user:angels_anarchy,2023-03-18T11:59:50Z,"blackened deathcore,deathcore,melodic metalcore,slamming deathcore,vancouver metal",0.504,0.992,7,-1.9,1,0.122,0.000112,0.00000254,0.392,0.235,119.975,4
7lavQI6SobqzrGmrr5DBkK,"4qrHkx5cgWIslciLXUMrYw","Denied by Fate","A Different Shade of Blue","Knocked Loose",2019-08-23,143706,45,spotify:user:angels_anarchy,2023-07-03T17:49:31Z,"kentucky metal,kentucky punk",0.33,0.973,5,-3.296,1,0.151,0.0000271,0.00000895,0.347,0.321,138.079,4
0Ond2khar20tMNRFf4pQR0,"7F9ZL4TJNr8AoU0UUQX8ih","Reverie on the Onyx","Bleed the Future","Archspire",2021-10-29,226746,40,spotify:user:angels_anarchy,2023-03-11T09:07:30Z,"canadian death metal,canadian metal,technical brutal death metal,technical death metal,vancouver metal",0.439,0.96,9,-3.478,0,0.16,0.00254,0.691,0.103,0.075,92.519,4
