"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0zCm4JTVBuIWSSL8rMUChT","Last Words of a Shooting Star","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:472GvzwE3EZ0i2EEaly5mX","Bury Me At Makeout Creek","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2014-11-11","https://i.scdn.co/image/ab67616d0000b27350f8ace2690355fa20e58227","1","10","164226","","false","0","USA2B1511611","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-07-11T09:11:05Z"
"spotify:track:2MEu4MKbmxutJ7UpqOcBtg","Hard To Love","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:4I7uuSfSkHKJjrr1vpu4mi","Portamento","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2011-01-01","https://i.scdn.co/image/ab67616d0000b2734c27d14a19e67dac23661031","1","5","233275","https://p.scdn.co/mp3-preview/8189929a7dc2b33fa4b00c408d86f24292e257b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBUM71105436","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2022-01-04T01:00:19Z"
"spotify:track:06u5LrUpbosQlQ1QJFhPpG","Drew Barrymore","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","4","231400","https://p.scdn.co/mp3-preview/98893dda53ce0bba3995394a3ac7cd4fccec7b7e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","TCACW1767742","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-10-10T04:44:15Z"
"spotify:track:1175r6ZmkUjX8dRJLz9Ohk","I Love You So","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:3MFTbUnA8C9T6KCBb0gpH5","Songs for Dads","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2014-11-28","https://i.scdn.co/image/ab67616d0000b273acf9c94f73fede70cca51d5e","1","1","160253","","false","0","TCACC1438995","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-11-19T10:59:09Z"
"spotify:track:7fd3aMiuwHWKsTdZafjOfZ","A Pearl","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:42cH7mrkfljkqkxA2Ip9Xq","Be the Cowboy","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117","1","4","156145","https://p.scdn.co/mp3-preview/811e44af9fb03849a52a6d349b009c2c6299f821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USJ5G1815004","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2022-04-22T11:37:48Z"
"spotify:track:6qCsKKS7Ol63SJW3LOIX5R","Plastic Hearts","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:5BRhg6NSEZOj0BR6Iz56fR","Plastic Hearts","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2020-11-27","https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142","1","2","205733","https://p.scdn.co/mp3-preview/d6a7d07a419a0243d99c235497bda045a07117c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRC12003717","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2023-01-25T04:02:35Z"
"spotify:track:0MVeLASrPyBrC6hwwhIMwu","Even If It's a Lie - Demo","spotify:artist:12j6dJrPXanCBwY599pZxf","Matt Maltese","spotify:album:2wSZEUpAFUNx5bpY5RjUHs","Even If It's a Lie (Demo)","spotify:artist:12j6dJrPXanCBwY599pZxf","Matt Maltese","2015-04-27","https://i.scdn.co/image/4906716c5be2d2a00755e2f46b051e6f1ebf80b7","1","1","237928","https://p.scdn.co/mp3-preview/87e9c9944bb10c8deb3672cc74c3bb90d9252646?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBKPL1511471","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-07-14T11:31:52Z"
"spotify:track:4PF0XoQKGG8IxRo8ngZ9U3","Bitter Woman","spotify:artist:5Fc7RKeKxZlZ3z2acJjPfA","Dana Foote","spotify:album:3QnBCUmbnOR8jHlxNkYoNM","No","spotify:artist:5Fc7RKeKxZlZ3z2acJjPfA","Dana Foote","2016-09-16","https://i.scdn.co/image/ab67616d0000b2734c3970ab43967849190a6a3b","1","5","237760","https://p.scdn.co/mp3-preview/5539cf797aacfdbe08867f529e54307d64fe517c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QZDA81859519","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-10-10T04:49:47Z"
"spotify:track:1Ac5BDsGUMQ3tsW2vnc52x","First Love / Late Spring","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:472GvzwE3EZ0i2EEaly5mX","Bury Me At Makeout Creek","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2014-11-11","https://i.scdn.co/image/ab67616d0000b27350f8ace2690355fa20e58227","1","3","278640","","false","0","USA2B1511604","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-07-11T09:08:24Z"
"spotify:track:5K2cBicu96Pf4mrBv3Jojk","If I'm Being Honest","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6Kr92CEAh6YLlEO8ubps17","Human","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2019-01-18","https://i.scdn.co/image/ab67616d0000b273f5594201858122e8f30fa7e3","1","6","279324","https://p.scdn.co/mp3-preview/53a73df3d3d3b1fe43544fa93529612adde753cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM6N21808968","spotify:user:u0gqkyffh4klbkqiqutahk0kc","2021-07-11T09:14:09Z"
