"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6JV2JOEocMgcZxYSZelKcc","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","spotify:album:40LbnfieVTWtHrK24WQeEB","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","2016-05-06","https://i.scdn.co/image/ab67616d0000b273ef37416970812293c08e8a78","1","1","236001","https://p.scdn.co/mp3-preview/abf52d96f3f35554fcc0ea7005d9e1ce848efd77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11600876","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:60nZcImufyMA1MKQY3dcCH","Happy - From ""Despicable Me 2""","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","spotify:album:0lrmy4pJINsFzycJvttX2W","G I R L","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","2014-03-03","https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba","1","5","232720","https://p.scdn.co/mp3-preview/5e0c8e5d899dea532d697fb20a851450e9614cfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USQ4E1300686","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:5nujrmhLynf4yMoMtj8AQF","Levitating (feat. DaBaby)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dua Lipa, DaBaby","spotify:album:5lKlFlReHOLShQKyRv6AL9","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4","1","12","203064","https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHT2000942","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:6HMtHNpW6YPi1hrw9tgF8P","About Damn Time","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:1NgFBv1PxMG1zhFDW1OrRr","Special","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2022-07-15","https://i.scdn.co/image/ab67616d0000b273fe3b1b9cb7183a94e1aafd43","1","2","191937","https://p.scdn.co/mp3-preview/eccfdcaa8806d35934078840b549adc92f01fbff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USAT22203704","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:4h4QlmocP3IuwYEj2j14p8","Sunroof","spotify:artist:7qmpXeNz2ojlMl2EEfkeLs, spotify:artist:38PzLQE4GW8o7A18oGhi0x","Nicky Youre, dazy","spotify:album:0VaHnwzDug4AcDkejYDUl5","Sunroof","spotify:artist:7qmpXeNz2ojlMl2EEfkeLs, spotify:artist:38PzLQE4GW8o7A18oGhi0x","Nicky Youre, dazy","2021-12-03","https://i.scdn.co/image/ab67616d0000b2732d03cfe61f9e398fa2f68c65","1","1","163025","","false","50","USQX92202129","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:27SdWb2rFzO6GWiYDBTD9j","Cheap Thrills","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:77jAfTh3KH9K2reMOmTgOh","This Is Acting","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-01-29","https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f","1","6","211666","https://p.scdn.co/mp3-preview/5f3001590e9ca084590fd3f18a300fa8391e042b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11502935","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:1kPpge9JDLpcj15qgrPbYX","Good Time","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:6sFIWsNpZYqfjUpaCgueju","Owl City, Carly Rae Jepsen","spotify:album:7gTFf2EWBONpjKVjpWbs5p","The Midsummer Station","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2012-08-17","https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a","1","7","205933","https://p.scdn.co/mp3-preview/948112ba8bf947a429389e2dd71c990989027a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71206288","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:4LRPiXqCikLlN15c3yImP7","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:2pqdSWeJVsXAhHFuVLzuA8","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-03-31","https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14","1","1","167303","","false","69","USSM12200612","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUM72206227","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:6SKwQghsR8AISlxhcwyA9R","Marry You","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:6J84szYCnMfzEcvIcfWMFL","Doo-Wops & Hooligans","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2010-10-05","https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0","1","6","230192","https://p.scdn.co/mp3-preview/6747a3674ec0b24ab9067972bb19291c3048a8d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USAT21001887","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
