"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:06KyNuuMOX1ROXRhj787tj","We Don't Talk Anymore (feat. Selena Gomez)","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Charlie Puth, Selena Gomez","spotify:album:5Nwsra93UQYJ6xxcjcE10x","Nine Track Mind","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2016-01-29","https://i.scdn.co/image/ab67616d0000b273633a2d775747bccfbcb17a45","1","5","217706","https://p.scdn.co/mp3-preview/0af9ac246a60236b73e34854631a6c3de5cca602?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USAT21502909","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T15:55:04Z"
"spotify:track:49dFIRQCQxPWgoH0m38XQ5","Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album","spotify:artist:1cZQSpDsxgKIX2yW5OR9Ot, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Lennon Stella, Charlie Puth","spotify:album:4D9M4nzQ9kvchgxyQyymtW","Summer Feelings (feat. Charlie Puth)","spotify:artist:1cZQSpDsxgKIX2yW5OR9Ot, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Lennon Stella, Charlie Puth","2020-04-23","https://i.scdn.co/image/ab67616d0000b2738733aeff08abb0822948bbb0","1","1","160289","https://p.scdn.co/mp3-preview/23c44f231e4fbd10c9a4a8ba56a7a4643256bef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT22003073","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T15:55:12Z"
"spotify:track:1UNs8AlFM8c0uAkSyjIW3P","Girlfriend","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","spotify:album:7AfbvLhUxPt0qOcXB2GTzY","Girlfriend","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2020-06-23","https://i.scdn.co/image/ab67616d0000b273eeb1236a7d65549de3657457","1","1","177438","https://p.scdn.co/mp3-preview/37b89ad9459098e8812e0861ab55ec8a27a43b16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USAT22002683","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T15:55:18Z"
"spotify:track:3rKYiySCDMUKTw5kGVVhaa","Marvin Gaye (feat. Meghan Trainor)","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Charlie Puth, Meghan Trainor","spotify:album:5Nwsra93UQYJ6xxcjcE10x","Nine Track Mind","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2016-01-29","https://i.scdn.co/image/ab67616d0000b273633a2d775747bccfbcb17a45","1","3","190453","https://p.scdn.co/mp3-preview/7e19cab67f9f80913d0a1a01c5b987d33ec2c6a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT21500254","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T15:55:19Z"
"spotify:track:6o4LOloYJc8yu0CdvOvifU","Hard On Yourself","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:2cFrymmkijnjDg9SS92EPM","Charlie Puth, blackbear","spotify:album:174SAjvfg1fkglW2S9vYkw","Hard On Yourself","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:2cFrymmkijnjDg9SS92EPM","Charlie Puth, blackbear","2020-08-14","https://i.scdn.co/image/ab67616d0000b273449ab72ccb2a2211e1e54c65","1","1","160825","https://p.scdn.co/mp3-preview/1930712245c171f8f25feec7c401655bdd9ae520?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAT22005350","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T15:55:24Z"
"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","Let Me Love You","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1uNFoZAHBGtllmzznpCI3s","DJ Snake, Justin Bieber","spotify:album:02sEJTj1sye1JaqxqpcSCp","Encore","spotify:artist:540vIaP2JwjQb9dm3aArA4","DJ Snake","2016-08-05","https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc","1","13","205946","https://p.scdn.co/mp3-preview/7864c6e844bdf1438c355017ecab0daceccb82f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","QMZSY1600015","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T16:01:06Z"
"spotify:track:3QGsuHI8jO1Rx4JWLUh9jd","Treat You Better","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:1ne2D0NxoGyZd31gAM4HNd","Illuminate","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2017-04-20","https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b","1","4","187973","https://p.scdn.co/mp3-preview/964acb3eecee3568fb10baf97d094b34887fb292?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USUM71604711","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T16:01:15Z"
"spotify:track:3zkWCteF82vJwv0hRLba76","Stitches","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:0CnQ0JQajNswRjPkNYVG8m","Handwritten","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2015-04-14","https://i.scdn.co/image/ab67616d0000b27375bd5306fb4669a15ee74eff","1","2","206880","https://p.scdn.co/mp3-preview/876dc08f43e2aee97a8ac8fb1d4535f6445f5a79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71500658","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T16:01:18Z"
"spotify:track:3P3pw6C19j31Rnzgo3JG7o","Perfect Strangers","spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:4kYGAK2zu9EAomwj3hXkXy","Jonas Blue, JP Cooper","spotify:album:2xZSrcBmvMw9Y8hac6xU7L","Blue","spotify:artist:1HBjj22wzbscIZ9sEb5dyf","Jonas Blue","2018-11-09","https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6","1","2","196613","https://p.scdn.co/mp3-preview/99b97634d18a161489f2a8a4d5efe5399dc3774c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBUM71602437","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T16:01:47Z"
"spotify:track:1SN1vSPsr4V4tIUTR3s8YW","Fast Car","spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:2zzpznMuhKlKlqh1ma7Sms","Jonas Blue, Dakota","spotify:album:2xZSrcBmvMw9Y8hac6xU7L","Blue","spotify:artist:1HBjj22wzbscIZ9sEb5dyf","Jonas Blue","2018-11-09","https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6","1","5","212424","https://p.scdn.co/mp3-preview/4982dffa383c7dc43ab4232b2c70696ebd953dae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71507621","spotify:user:21f6qjxrelgles3op5sopjv2y","2021-01-07T16:01:56Z"
