Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wf7Yu7cxBSPrRlWeSeK0Q,"6qqNVTkY8uBg9cP3Jd7DAH","What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,95,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-07-20T18:24:58Z,"art pop,pop",0.444,0.0911,0,-17.665,1,0.0307,0.959,0.00000105,0.098,0.142,78.403,4
0VQjTLPG8l3egUHmIxe265,"25u4wHJWxCA9vO0CzxAbK7","7 Years","Lukas Graham (Blue Album)","Lukas Graham",2016-03-25,237266,64,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-05-30T11:32:02Z,"danish pop,scandipop",0.765,0.472,10,-5.837,1,0.052,0.291,0,0.389,0.352,119.946,4
2HafqoJbgXdtjwCOvNEF14,"0jbo7KFNMiIkfBR6ih0yhm","Si No Estás","Si No Estás","iñigo quintero",2022-09-23,184061,99,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-10-06T03:06:31Z,"",0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,4
3JvKfv6T31zO0ini8iNItO,"2txHhyCwHjUEpJjWrEyqyX","Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,92,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-08-12T08:28:02Z,"chill pop",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
0gplL1WMoJ6iYaPgMCL0gX,"4dpARuHxo51G3z768sgnrY","Easy On Me","Easy On Me","Adele",2021-10-14,224694,84,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2021-10-14T23:09:58Z,"british soul,pop,pop soul,uk pop",0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
1odExI7RdWc4BT515LTAwj,"33NVpKoXjItPwUJTMZIOiY","Daylight","Daylight","David Kushner",2023-04-14,212953,95,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-04-15T11:20:38Z,"gen z singer-songwriter",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
3k79jB4aGmMDUQzEwa46Rz,"1McMsnEElThX1knmY4oliG","vampire","vampire","Olivia Rodrigo",2023-06-30,219724,76,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-07-18T13:23:42Z,"pop",0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,4
0u2P5u6lvoDfwTYjAADbn4,"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,91,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-11-21T10:05:11Z,"art pop,pop,pop r&b",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
2NbsBSshscKIPRG3kwBbfo,"2feDdbD5araYcm6JhFHHw7","Never Felt So Alone","Never Felt So Alone","Labrinth",2023-04-07,160166,77,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-04-18T14:09:12Z,"indie poptimism,pop",0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,3
0QPRDC97rIQB3Jh3hrVJoH,"46xBNx0j6cwY6sD9LgMTm1","SNAP","SNAP","Rosa Linn",2022-03-19,179551,7,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-07-27T20:56:32Z,"alt z",0.563,0.639,0,-8.205,1,0.0684,0.107,0.0000106,0.446,0.518,169.985,4
3vkCueOmm7xQDoJ17W1Pm3,"2uYWxilOVlUdk4oV9DvwqK","My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,97,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-11-10T13:25:38Z,"brooklyn indie,pov: indie",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
2L9N0zZnd37dwF0clgxMGI,"1GmsPCcpKgF9OhlNXjOsbS","ceilings","five seconds flat","Lizzy McAlpine",2022-04-08,182887,87,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-03-03T23:10:37Z,"alt z,boston folk,indie pop,singer-songwriter pop",0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
0WFryfbNKPXVtVQlz5dZ8H,"6qqNVTkY8uBg9cP3Jd7DAH","hotline (edit)","hotline (edit)","Billie Eilish",2023-05-09,60719,85,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-06-07T07:53:24Z,"art pop,pop",0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,4
7lPN2DXiMsVn7XUKtOW1CS,"1McMsnEElThX1knmY4oliG","drivers license","drivers license","Olivia Rodrigo",2021-01-08,242013,29,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-06-20T15:30:25Z,"pop",0.585,0.436,10,-8.761,1,0.0601,0.721,0.0000131,0.105,0.132,143.874,4
2JzZzZUQj3Qff7wapcbKjc,"137W8MRPWKqSmrBGDBFSop,6VuMaDnrHyPL1p4EHjYLi7","See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",2015,229525,85,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2019-07-30T13:14:28Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
6xGruZOHLs39ZbVccQTuPZ,"3MZsBdqDrRTJihTHQrO6Dq","Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,85,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-06-18T09:16:17Z,"viral pop",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
75ZvA4QfFiZvzhj2xkaWAh,"246dkjvS1zLTtiykXe5h60","I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,82,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-06-30T20:02:51Z,"dfw rap,melodic rap,pop,rap",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,4
7AFASza1mXqntmGtbxXprO,"15UsOTVnJzReFVN1VCnxy4","changes","?","XXXTENTACION",2018-03-16,121886,79,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-07-10T13:37:10Z,"emo rap,miami hip hop",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,4
561jH07mF1jHuk7KlaeF0s,"7dGJo4pcD2V6oG8kP0tJRR","Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,90,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-11-10T23:22:38Z,"detroit hip hop,hip hop,rap",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
78Bdj1mJWtGZljjonxYBs7,"4v1IssGK0vWAyG0eK1aY21","Money","Money","Reyn Hartley",2023-09-22,211559,51,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-11-10T14:16:14Z,"slowed and reverb",0.535,0.26,2,-13.826,1,0.0306,0.892,0.00142,0.108,0.204,144.149,4
26b3oVLrRUaaybJulow9kz,"7kjSuFGKhLm8b5qXoMhRkJ","People","People","Libianca",2022-12-06,184791,87,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2023-06-09T10:54:33Z,"afrobeats",0.573,0.422,10,-7.621,0,0.0678,0.551,0.0000131,0.102,0.693,124.357,5
06vNG6CiV4k8oNA0wUUAO7,"5XKFrudbV4IiuE5WuTPRmT","Until I Found You - Piano Version","Until I Found You (Piano Version)","Stephen Sanchez",2022-03-11,184895,70,spotify:user:adil2k7xbnt8lzx0qxuyccbjy,2022-09-02T14:19:44Z,"gen z singer-songwriter",0.603,0.148,7,-10.449,1,0.0279,0.927,0,0.101,0.228,95.451,3
